year	hr	ssb
1990	0.3999726301	697.145201899
1991	0.2511338267	739.0123523249
1992	0.2823199973	813.1021614462
1993	0.2123808526	887.3681298819
1994	0.4727765223	748.5633862439
1995	0.1647513294	1095.7847845895
1996	0.3332251952	1090.6828330851
1997	0.3655118108	999.9988847459
1998	0.5250318363	868.1292020468
1999	0.4727765223	748.5633862439
2000	0.5334181196	667.4539447974
2001	0.5372842786	593.4129110163
2002	0.5885626058	527.185146124
2003	0.7655763098	432.2760146404
2004	0.8631583667	323.2315305608
2005	0.8836471543	454.7143031605
2006	0.4264770779	731.4672139067
2007	0.5013323533	967.693381121
2008	0.4823432156	1152.7061686706
2009	0.5869124327	887.6963087069
2010	0.8508626025	628.7736685213
