"Land Area","Trade flow","Commodity","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009"
"Northern America","Export","Atlantic cod, fresh or chilled","5688","","5305","","6968","","5102","","4419","","2691","","4007","","4374","","3752","","3199","","3179","","2267","","2519","","2361","","2206","","1652","","1185","","875","","661","","900",""
"Northern America","Export","Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled","2119","","1620","","1495","","2038","","1982","","2178","","1966","","1808","","1478","","1488","","1305","","1252","","1323","","2502","","780","","3341","","718","","960","","515","","537",""
"Northern America","Export","Bigeye tuna, fresh or chilled","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","312","","478","","530","","615","","416","","262","","265","","232",""
"Northern America","Export","Salmons, fresh or chilled, nei","21660","","28837","","26831","","1794","","1548","","1576","","1441","","2589","","1680","","1895","","1753","","1678","","1715","","769","","1005","","837","","1773","","406","","659","","507",""
"Northern America","Export","Swordfish, fresh or chilled","0",".","0",".","0",".","1746","","1232","","1260","","533","","800","","862","","825","","734","","825","","756","","990","","937","","1234","","1038","","1177","","1179","","1231",""
"Northern America","Export","Yellowfin tuna, fresh or chilled","791","","840","","2278","","1551","","4035","","1372","","677","","758","","372","","1070","","741","","644","","2052","","2458","","610","","664","","956","","1066","","713","","438",""
"Northern Europe","Export","Atlantic cod, fresh or chilled","79085","","62714","","60824","","60720","","64542","","70939","","100451","","108849","","72018","","73866","","75740","","66584","","70817","","91472","","107476","","76204","","71210","","68443","","65186","","82446",""
"Northern Europe","Export","Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled","0",".","0",".","0",".","0",".","10","","3","","1468","","343","","18","","63","","14","","24","","1","","9","","40","","28","","19","","51","","2","","6",""
"Northern Europe","Export","Bigeye tuna, fresh or chilled","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","527","","0","-","0","-","1","","3","","0","-","0","-"
"Northern Europe","Export","Salmons, fresh or chilled, nei","13123","","18165","","24687","","61579","","70727","","89650","","99148","","126708","","163421","","188649","","193759","","206840","","220071","","263394","","258256","","242182","","257713","","305640","","339658","","404256",""
"Northern Europe","Export","Seabass, fresh or chilled","0",".","0",".","55","","62","","25","","20","","99","","73","","84","","154","","54","","86","","168","","168","","111","","134","","96","","117","","155","","191",""
"Northern Europe","Export","Swordfish, fresh or chilled","0",".","2","","21","","5","","32","","156","","159","","44","","66","","42","","6","","82","","31","","16","","42","","45","","47","","43","","26","","121",""
"Northern Europe","Export","Yellowfin tuna, fresh or chilled","93","","24","","91","","66","","14","","6","","6","","17","","9","","14","","8","","3","","18","","22","","104","","138","","186","","73","","112","","216",""
"Southern Europe","Export","Atlantic cod, fresh or chilled","54","","417","","64","","778","","1494","","1397","","703","","861","","558","","427","","324","","272","","381","","454","","372","","574","","526","","579","","442","","539",""
"Southern Europe","Export","Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled","0",".","0",".","0",".","0",".","4988","","6149","","10972","","9653","","6432","","9917","","8320","","12614","","8609","","5530","","13565","","10339","","15913","","12094","","12732","","8006",""
"Southern Europe","Export","Bigeye tuna, fresh or chilled","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","37","","31","","20","","132","","79","","53","","79","","777",""
"Southern Europe","Export","Salmons, fresh or chilled, nei","65","","45","","55","","57","","124","","356","","524","","981","","874","","889","","637","","965","","783","","1336","","1453","","599","","664","","1380","","1943","","2452",""
"Southern Europe","Export","Seabass, fresh or chilled","0",".","0",".","0",".","0",".","0",".","0",".","1467","","3958","","4313","","7199","","11250","","14384","","10566","","13202","","15122","","15146","","21600","","34474","","30494","","34198",""
"Southern Europe","Export","Swordfish, fresh or chilled","0",".","2638","","2599","","3250","","3285","","2335","","3754","","3694","","4662","","4806","","4564","","5300","","5942","","5958","","6882","","5999","","7834","","6682","","6198","","5350",""
"Southern Europe","Export","Yellowfin tuna, fresh or chilled","163","","280","","149","","1505","","1462","","2210","","2607","","1740","","2773","","1188","","464","","524","","194","","500","","669","","752","","1294","","644","","437","","854",""
"Western Europe","Export","Atlantic cod, fresh or chilled","8914","","9064","","9716","","9330","","16899","","14515","","17831","","15604","","14561","","16545","","14657","","10716","","9875","","8373","","10488","","11574","","11591","","11606","","8130","","9273",""
"Western Europe","Export","Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled","0",".","0",".","0",".","0",".","2943","","3982","","3595","","2971","","2083","","2594","","1729","","1524","","5522","","824","","1844","","844","","1266","","919","","120","","132",""
"Western Europe","Export","Bigeye tuna, fresh or chilled","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","19","","13","","62","","142","","72","","129","","104","","67",""
"Western Europe","Export","Salmons, fresh or chilled, nei","710","","870","","1022","","10747","","16612","","26648","","37425","","26036","","16248","","22593","","45604","","29530","","27147","","21490","","28808","","22718","","33258","","31850","","30371","","37280",""
"Western Europe","Export","Seabass, fresh or chilled","0",".","0",".","0",".","0",".","0",".","0",".","1024","","1353","","2040","","2368","","2530","","2603","","3795","","3765","","3214","","3578","","3665","","4710","","7450","","5770",""
"Western Europe","Export","Swordfish, fresh or chilled","0",".","35","","42","","48","","41","","416","","193","","204","","145","","166","","122","","241","","222","","328","","331","","345","","368","","301","","138","","131",""
"Western Europe","Export","Yellowfin tuna, fresh or chilled","80","","71","","243","","341","","395","","129","","45","","107","","32","","49","","61","","110","","232","","219","","608","","936","","488","","1088","","842","","849",""
